day,eth_spot_price,eth_mark_price,spread_bps,daily_funding_rate_bps,edge_score_bps,is_hedge_open,position_notional,posted_margin,entry_price,lending_income_daily,funding_income_daily,short_price_pnl_daily,costs_daily,cumulative_lending,cumulative_funding,cumulative_price_pnl,cumulative_costs,net_pnl_daily,cumulative_net_pnl,equity,margin_ratio_bps,health_factor,annualized_return_bps
15,1991.07,1992.07,5.0,0.7111,754.54,True,100000.0,20000.0,2000.0,13.6986,7.1106,-1429.4983,0.0,205.4795,281.9737,446.2984,50.0,-1408.6891,883.7516,100883.7516,2072.83,4.1457,2150.46
16,1937.64,1938.6,5.0,2.5531,1426.89,True,100000.0,20000.0,2000.0,13.6986,25.5313,2671.9111,0.0,219.1781,307.505,3118.2095,50.0,2711.1409,3594.8925,103594.8925,2342.57,4.6851,8200.85
17,1959.78,1960.76,5.0,0.5617,700.01,True,100000.0,20000.0,2000.0,13.6986,5.6168,-1107.009,0.0,232.8767,313.1218,2011.2004,50.0,-1087.6936,2507.1989,102507.1989,2232.43,4.4649,5383.1
18,1901.22,1902.17,5.0,3.3177,1705.95,True,100000.0,20000.0,2000.0,13.6986,33.1768,2927.6962,0.0,246.5753,346.2985,4938.8966,50.0,2974.5716,5481.7705,105481.7705,2528.52,5.057,11115.81
19,1953.98,1954.95,5.0,1.9251,1197.67,True,100000.0,20000.0,2000.0,13.6986,19.2511,-2637.6515,0.0,260.274,365.5496,2301.2451,50.0,-2604.7017,2877.0687,102877.0687,2266.68,4.5334,5527.0
20,1950.49,1951.46,5.0,1.7227,1123.79,True,100000.0,20000.0,2000.0,13.6986,17.2271,174.4438,0.0,273.9726,382.7767,2475.6889,50.0,205.3695,3082.4382,103082.4382,2285.85,4.5717,5625.45
21,1938.77,1939.74,5.0,0.9786,852.19,True,100000.0,20000.0,2000.0,13.6986,9.7861,585.804,0.0,287.6712,392.5627,3061.4929,50.0,609.2886,3691.7268,103691.7268,2345.41,4.6908,6416.57
22,1897.33,1898.28,5.0,3.8338,1894.34,True,100000.0,20000.0,2000.0,13.6986,38.3381,2071.8057,0.0,301.3699,430.9009,5133.2986,50.0,2123.8424,5815.5693,105815.5693,2556.42,5.1128,9648.56
23,1971.17,1972.15,5.0,1.7682,1140.4,True,100000.0,20000.0,2000.0,13.6986,17.6821,-3691.5766,0.0,315.0685,448.5829,1441.722,50.0,-3660.1959,2155.3734,102155.3734,2189.03,4.3781,3420.48
24,1961.19,1962.17,5.0,1.3575,990.49,True,100000.0,20000.0,2000.0,13.6986,13.5751,498.6459,0.0,328.7671,462.158,1940.3679,50.0,525.9196,2681.293,102681.293,2240.25,4.4805,4077.8
25,1934.56,1935.53,5.0,1.4718,1032.21,True,100000.0,20000.0,2000.0,13.6986,14.718,1331.4513,0.0,342.4658,476.876,3271.8192,50.0,1359.868,4041.161,104041.161,2374.87,4.7497,5900.1
26,1912.87,1913.82,5.0,2.7985,1516.44,True,100000.0,20000.0,2000.0,13.6986,27.9846,1084.7801,0.0,356.1644,504.8606,4356.5993,50.0,1126.4633,5167.6243,105167.6243,2486.15,4.9723,7254.55
27,1944.69,1945.66,5.0,2.5482,1425.08,True,100000.0,20000.0,2000.0,13.6986,25.4817,-1591.0347,0.0,369.863,530.3423,2765.5646,50.0,-1551.8545,3615.7699,103615.7699,2329.59,4.6592,4887.99
28,1966.71,1967.69,5.0,2.6191,1450.97,True,100000.0,20000.0,2000.0,13.6986,26.191,-1100.8259,0.0,383.5616,556.5333,1664.7386,50.0,-1060.9363,2554.8336,102554.8336,2222.13,4.4443,3330.41
29,1991.93,1992.92,5.0,2.6462,1460.87,True,100000.0,20000.0,2000.0,13.6986,26.4623,-1261.0913,0.0,397.2603,582.9956,403.6473,50.0,-1220.9303,1333.9032,101333.9032,2098.66,4.1973,1678.88
30,2018.62,2019.63,5.0,5.2125,2397.55,True,100000.0,20000.0,2000.0,13.6986,52.1247,-1334.584,0.0,410.9589,635.1203,-930.9366,50.0,-1268.7606,65.1426,100065.1426,1970.42,3.9408,79.26
