day,eth_spot_price,eth_mark_price,spread_bps,daily_funding_rate_bps,edge_score_bps,is_hedge_open,position_notional,posted_margin,entry_price,lending_income_daily,funding_income_daily,short_price_pnl_daily,costs_daily,cumulative_lending,cumulative_funding,cumulative_price_pnl,cumulative_costs,net_pnl_daily,cumulative_net_pnl,equity,margin_ratio_bps,health_factor,annualized_return_bps
20,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,273.9726,600.0,0.0,50.0,43.6986,823.9726,100823.9726,2060.0,4.12,1503.75
21,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,287.6712,630.0,0.0,50.0,43.6986,867.6712,100867.6712,2063.0,4.126,1508.1
22,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,301.3699,660.0,0.0,50.0,43.6986,911.3699,100911.3699,2066.0,4.132,1512.05
23,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,315.0685,690.0,0.0,50.0,43.6986,955.0685,100955.0685,2069.0,4.138,1515.65
24,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,328.7671,720.0,0.0,50.0,43.6986,998.7671,100998.7671,2072.0,4.144,1518.96
25,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,342.4658,750.0,0.0,50.0,43.6986,1042.4658,101042.4658,2075.0,4.15,1522.0
26,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,356.1644,780.0,0.0,50.0,43.6986,1086.1644,101086.1644,2078.0,4.156,1524.81
27,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,369.863,810.0,0.0,50.0,43.6986,1129.863,101129.863,2081.0,4.162,1527.41
28,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,383.5616,840.0,0.0,50.0,43.6986,1173.5616,101173.5616,2084.0,4.168,1529.82
29,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,397.2603,870.0,0.0,50.0,43.6986,1217.2603,101217.2603,2087.0,4.174,1532.07
30,2000.0,2001.0,5.0,3.0,1590.0,True,100000.0,20000.0,2000.0,13.6986,30.0,0.0,0.0,410.9589,900.0,0.0,50.0,43.6986,1260.9589,101260.9589,2090.0,4.18,1534.17
